,total_departure,total_arrival,departure_distance_avg,arrival_distance_avg,departure_taxi_avg,arrival_taxi_avg,city_name,code4,latitude,longitude,altitude_ft,city_id,fips,population,temp_avg,pcp_avg,strike_avg,damage_avg,enplanements,length_ft_sum,width_ft_avg,runway_count,security_avg
ABE,4168.0,4165.0,619.5734165067179,619.5183673469388,15.095051445369917,5.037680450207977,allentown,KABE,40.652099609375,-75.44080352783203,393.0,10988,42077,682899,51.90248962655603,4.16103734439834,5.25,0.16666666666666666,376468.0,13397.0,150.0,2.0,2.45
ABI,2022.0,2022.0,158.0,158.0,13.50630994447249,3.7473471450227387,abilene,KABI,32.4113006592,-99.68190002440001,1791.0,5333,48441,114964,64.4887966804979,2.1314107883817432,0.75,0.08333333333333333,77229.0,18078.0,133.33333333333334,3.0,1.4166666666666667
ABQ,24047.0,24048.0,678.4904561899614,678.5864520958083,12.688534229315414,5.385894206549119,albuquerque,KABQ,35.04019927978516,-106.60900115966795,5355.0,3742,35001,758523,54.316597510373434,0.9284647302904563,6.833333333333333,0.25,2647269.0,39793.0,150.0,4.0,2.9743589743589745
ABY,1018.0,1018.0,145.0,145.0,15.779543197616682,3.673286991062562,albany,KABY,31.535499572753906,-84.19450378417969,197.0,17309,13095,90515,66.57800829875518,4.069336099585061,0.4166666666666667,0.08333333333333333,39422.0,11801.0,150.0,2.0,1.5833333333333333
ACK,972.0,972.0,222.88168724279836,222.88168724279836,15.843116328708645,6.231914893617021,nantucket,KACK,41.25310135,-70.06020355,47.0,19193,25019,201,50.79336099585066,3.7031950207468856,0.5833333333333334,0.08333333333333333,126610.0,12999.0,100.0,3.0,1.5
ACT,1593.0,1594.0,89.0,89.0,13.121903520208605,3.681375730045425,waco,KACT,31.61129951477051,-97.23049926757812,516.0,5814,48309,188448,66.86224066390038,3.144439834024898,0.6666666666666666,0.08333333333333333,57344.0,12492.0,150.0,2.0,2.5789473684210527
ACV,1478.0,1479.0,296.01894451962113,295.8972278566599,13.306508047585725,6.072027972027972,arcata,KACV,40.97809982299805,-124.10900115966795,221.0,13722,6023,33806,54.50331950207469,5.060331950207463,0.0,0.0,69575.0,10499.0,150.0,2.0,6.105263157894737
ACY,3288.0,3288.0,871.1654501216545,871.1149635036496,11.416564039408867,5.0344827586206895,atlantic,KACY,39.45759963989258,-74.57720184326172,75.0,3361,34001,241363,55.071369294605844,3.9609958506224077,5.833333333333333,0.16666666666666666,568958.0,16144.0,150.0,2.0,8.857142857142858
AEX,3403.0,3402.0,340.11166617690276,340.15579071134624,15.96662693682956,3.6808700834326578,alexandria,KAEX,31.32740020751953,-92.54979705810548,89.0,6089,22079,82131,67.01203319502072,4.88053941908714,0.25,0.0,143173.0,16353.0,150.0,2.0,2.730769230769231
AGS,4544.0,4541.0,147.70532570422534,147.73926447918961,16.656116722783388,4.88009861048857,bush,KAGS,33.36989974975586,-81.9645004272461,144.0,15688,17199,270,56.445643153526916,4.122946058091284,0.0,0.0,300598.0,14002.0,112.5,2.0,3.125
