ABE,allentown
ABI,abilene
ABQ,albuquerque
ABY,albany
ACK,nantucket
ACT,waco
ACV,arcata ca
ACY,atlantic city
ADK,adak island
ADQ,kodiak
AEX,alexandria
AGS,bush field
AKN,king salmon
ALB,albany
ALO,waterloo
AMA,amarillo
ANC,anchorage
ASE,aspen
ATL,atlanta
ATW,appleton
AUS,austin
AVL,asheville
AVP,scranton
AZO,kalamazoo
BDL,windsor locks
BET,bethel
BFL,bakersfield
BGM,binghamton
BGR,bangor
BHM,birmingham
BIL,billings
BIS,bismarck
BJI,bemidji
BKG,branson
BLI,bellingham
BMI,bloomington
BNA,nashville
BOI,boise
BOS,boston
BQK,brunswick
BQN,
BRO,brownsville
BRW,barrow
BTM,butte
BTR,baton rouge
BTV,burlington
BUF,buffalo
BUR,burbank
BWI,baltimore
BZN,bozeman
CAE,columbia
CAK,akron
CDC,cedar city
CDV,cordova
CEC,crescent city
CHA,chattanooga
CHO,charlottesville va
CHS,charleston
CIC,chico
CID,cedar rapids
CLD,carlsbad
CLE,cleveland
CLL,college station
CLT,charlotte
CMH,columbus
CMI,champaign
CMX,hancock
COD,cody
COS,colorado springs
CPR,casper
CRP,corpus christi
CRW,charleston
CSG,columbus
CVG,cincinnati
CWA,wassau
DAB,daytona beach
DAL,dallas
DAY,dayton
DBQ,dubuque ia
DCA,washington
DEN,denver
DFW,dallas fort worth
DHN,dothan
DLG,dillingham
DLH,duluth
DRO,durango
DSM,des moines
DTW,detroit
EGE,vail
EKO,elko
ELM,elmira
ELP,el paso
ERI,erie
EUG,eugene
EVV,evansville
EWN,new bern
EWR,newark
EYW,key west
FAI,fairbanks
FAR,fargo
FAT,fresno
FAY,fayetteville
FCA,kalispell
FLG,flagstaff
FLL,fort lauderdale
FLO,florence
FNT,flint
FSD,sioux falls
FSM,fort smith
FWA,fort wayne
GCC,gillette
GEG,spokane
GFK,grand forks
GGG,longview
GJT,grand junction
GNV,gainesville
GPT,gulfport
GRB,green bay
GRK,killeen
GRR,grand rapids
GSO,greensboro
GSP,greenville
GST,gustavus
GTF,great falls
GTR,columbus mississippi
GUC,gunnison
HDN,hayden
HLN,helena
HNL,honolulu
HOU,houston
HPN,white plains
HRL,harlingen
HSV,huntsville
HTS,huntington
IAD,washington
IAH,houston
ICT,wichita
IDA,idaho falls
ILM,wilmington
IND,indianapolis
IPL,imperial
ISP,islip
ITH,ithaca
ITO,hilo
IYK,inyokern
JAC,jacksn hole
JAN,jackson
JAX,jacksonville
JFK,new york
JNU,juneau
KOA,kona
KTN,ketchikan
LAN,lansing
LAS,las vegas
LAW,lawton
LAX,los angeles
LBB,lubbock
LCH,lake charles
LEX,lexington ky
LFT,lafayette
LGA,new york
LGB,long beach
LIH,lihue
LIT,little rock
LMT,klamath falls
LNK,lincoln
LRD,laredo
LSE,la crosse
LWB,lewisburg
LWS,lewiston
LYH,lynchburg
MAF,midland
MBS,saginaw
MCI,kansas city
MCO,orlando
MDT,harrisburg
MDW,chicago
MEI,meridian
MEM,memphis
MFE,mcallen
MFR,medford
MGM,montgomery
MHK,manhattan
MHT,manchester nh
MIA,miami
MKE,milwaukee
MLB,melbourne
MLI,moline
MLU,monroe
MOB,mobile
MOD,modesto
MOT,minot
MQT,gwinn
MRY,monterey
MSN,madison
MSO,missoula
MSP,minneapolis
MSY,new orleans
MTJ,montrose co
MWH,grant county airport
MYR,myrtle beach
OAJ,jacksonville nc
OAK,oakland
OGG,kahului
OKC,oklahoma city
OMA,omaha
OME,nome
ONT,ontario
ORD,chicago
ORF,norfolk
OTH,north bend
OTZ,kotzebue
OXR,oxnard
PBI,west palm beach
PDX,portland
PFN,panama city
PHF,newport news
PHL,philadelphia
PHX,phoenix
PIA,peoria
PIH,pocatello
PIR,pierre
PIT,pittsburgh
PLN,pellston
PNS,pensacola
PSC,pasco
PSE,
PSG,petersburg
PSP,palm springs
PVD,providence
PWM,portland
RAP,rapid city
RDD,redding
RDM,redmond bend
RDU,raleigh durham
RHI,rhinelander
RIC,richmond
RKS,rock springs
RNO,reno
ROA,roanoke va
ROC,rochester
ROW,roswell
RST,rochester
RSW,fort myers
SAF,santa fe
SAN,san diego
SAT,san antonio
SAV,savannah
SBA,santa barbara
SBN,south bend
SBP,san luis obispo
SCC,deadhorse
SCE,state college pennsylvania
SDF,louisville
SEA,seattle
SFO,san francisco
SGF,springfield
SGU,saint george
SHV,shreveport
SIT,sitka
SJC,san jose
SJT,san angelo
SJU,
SLC,salt lake city
SMF,sacramento
SMX,santa maria
SNA,santa ana
SPI,springfield
SPS,wichita falls
SRQ,sarasota
STL,st louis
STT,
STX,
SUN,hailey
SUX,sioux city
SWF,newburgh
SYR,syracuse
TEX,telluride
TLH,tallahassee
TOL,toledo
TPA,tampa
TRI,bristol
TUL,tulsa
TUS,tucson
TVC,traverse city
TWF,twin falls
TXK,texarkana
TYR,tyler
TYS,knoxville
VLD,valdosta
VPS,valparaiso
WRG,wrangell
WYS,west yellowstone
XNA,bentonville
YAK,yakutat
YUM,yuma
